proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
PRPs-agentic-eng	2026-07-31T19:11:32Z	0	code-review	add-an-11th-static-check-to-scriptsvalidate-that	1	-	-	APPROVED	final_flip	15	0	0	0	0
PRPs-agentic-eng	2026-07-28T13:16:25Z	0	code-review	add-an-8th-fixed-deterministic-check-r-coh-validate-search	1	-	-	CHANGES_REQUESTED	rubric_fail	14	1	1	0	0
PRPs-agentic-eng	2026-07-28T13:36:07Z	0	code-review	add-an-8th-fixed-deterministic-check-r-coh-validate-search	2	-	-	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-31T21:42:27Z	0	code-review	close-the-consumer-half-of-the-v0250-reviewstartedat	1	-	-	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-31T15:41:12Z	0	code-review	close-the-validation-docs-debt-recorded-in	1	-	-	CHANGES_REQUESTED	rubric_fail	15	4	4	0	0
PRPs-agentic-eng	2026-07-31T16:20:00Z	0	code-review	close-the-validation-docs-debt-recorded-in	2	-	-	CHANGES_REQUESTED	rubric_fail	14	2	2	0	0
PRPs-agentic-eng	2026-07-31T17:10:00Z	0	code-review	close-the-validation-docs-debt-recorded-in	3	-	-	CHANGES_REQUESTED	rubric_fail	15	3	3	0	0
PRPs-agentic-eng	2026-07-31T18:05:00Z	0	code-review	close-the-validation-docs-debt-recorded-in	4	-	-	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-24T00:29:21Z	0	code-review	enforce-figma-component-reuse-per-ac-2-of-figma-implementation-track	1	-	-	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-23T00:07:55Z	0	code-review	figma-implementation-track-phase-1-foundations	1	figma-implementation-track	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-23T02:17:45Z	0	code-review	figma-implementation-track-phase-2-mcp-access-spike	1	figma-implementation-track	2	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-07-23T02:23:09Z	0	code-review	figma-implementation-track-phase-2-mcp-access-spike	2	figma-implementation-track	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-23T12:00:00Z	0	code-review	figma-implementation-track-phase-3-component-map	1	figma-implementation-track	3	CHANGES_REQUESTED	rubric_fail	14	1	1	0	0
PRPs-agentic-eng	2026-07-23T03:17:11Z	0	code-review	figma-implementation-track-phase-3-component-map	2	figma-implementation-track	3	APPROVED	final_flip	14	0	0	0	0
PRPs-agentic-eng	2026-07-23T15:00:00Z	0	code-review	figma-implementation-track-phase-4-design-spec	1	figma-implementation-track	4	APPROVED	final_flip	14	0	0	0	0
PRPs-agentic-eng	2026-07-23T17:35:35Z	0	code-review	figma-implementation-track-phase-5-plan-integration	1	figma-implementation-track	5	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-07-23T17:43:48Z	0	code-review	figma-implementation-track-phase-5-plan-integration	2	figma-implementation-track	5	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-23T19:40:27Z	0	code-review	figma-implementation-track-phase-6-visual-loop	1	figma-implementation-track	6	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-07-23T19:50:58Z	0	code-review	figma-implementation-track-phase-6-visual-loop	2	figma-implementation-track	6	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-07-23T20:01:22Z	0	code-review	figma-implementation-track-phase-6-visual-loop	3	figma-implementation-track	6	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-07-23T21:42:00Z	0	code-review	figma-implementation-track-phase-7-surface-integration	1	figma-implementation-track	7	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
