proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	relay-commit-command	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-2-plugin-bump-docs	1	relay-commit-command	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	code-review	relay-execute-phase-1-relay-execute-command-file	1	relay-execute	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	code-review	relay-execute-phase-2-dogfood-synthetic-test-prd	1	relay-execute	2	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-05-01T17:21:21Z	0	code-review	relay-execute-phase-2-dogfood-synthetic-test-prd	2	relay-execute	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	code-review	relay-execute-phase-3-docs-updates-version-bump	1	relay-execute	3	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T02:42:43Z	0	code-review	relay-worktree-phase-1-relay-worktree-command-file	1	relay-worktree	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	relay-worktree-phase-2-context-builder-extension	1	relay-worktree	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	relay-worktree-phase-3-relay-execute-d4-live-wiring	1	relay-worktree	3	CHANGES_REQUESTED	rubric_fail	13	2	2	0	0
PRPs-agentic-eng	2026-05-11T14:30:00Z	0	code-review	relay-worktree-phase-3-relay-execute-d4-live-wiring	2	relay-worktree	3	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	relay-worktree-phase-4-synthetic-dogfood	1	relay-worktree	4	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	relay-worktree-phase-5-docs-v0-11-0	1	relay-worktree	5	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-12T00:00:00Z	0	code-review	test-frameworks-empty-self-skip-phase-1-relay-test-phase-0-gate	1	test-frameworks-empty-self-skip-phase-1-relay-test	0	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-12T00:00:00Z	0	code-review	test-frameworks-empty-self-skip-phase-2-relay-execute-phase-a50-explicit-handling	1	test-frameworks-empty-self-skip	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-12T00:00:00Z	0	code-review	test-frameworks-empty-self-skip-phase-3-docsdecisionsmd-codification-entry	1	test-frameworks-empty-self-skip	3	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-12T00:00:00Z	0	code-review	test-frameworks-empty-self-skip-phase-4-docs-site-v0111-patch-release-cut	1	test-frameworks-empty-self-skip	4	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	worktree-dogfood-A-phase-1-create-dogfood-amd	1	worktree-dogfood-A	1	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	2026-05-11T00:00:00Z	0	code-review	worktree-dogfood-B-phase-1-create-dogfood-b-md	1	worktree-dogfood-B	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	plan-review	relay-commit-command-phase-1-command-file	1	relay-commit-command	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	plan-review	relay-commit-command-phase-2-plugin-bump-docs	1	relay-commit-command	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-1-relay-execute-command-file	1	relay-execute	1	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-1-relay-execute-command-file	2	relay-execute	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-2-dogfood-synthetic-test-prd	1	relay-execute	2	CHANGES_REQUESTED	rubric_fail	14	1	1	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-2-dogfood-synthetic-test-prd	2	relay-execute	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-3-docs-updates-version-bump	1	relay-execute	3	CHANGES_REQUESTED	rubric_fail	14	3	3	0	0
PRPs-agentic-eng	2026-05-01T00:00:00Z	0	plan-review	relay-execute-phase-3-docs-updates-version-bump	2	relay-execute	3	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-10T00:00:00Z	0	plan-review	relay-worktree-phase-1-relay-worktree-command-file	1	relay-worktree	1	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-05-10T00:00:00Z	0	plan-review	relay-worktree-phase-2-context-builder-extension	1	relay-worktree	2	CHANGES_REQUESTED	rubric_fail	14	2	2	0	0
